ID,Start time,Completion time,Which of the following most closely reflects your professional role at the time of the 8th Annual CIT Training Academy? Select one.,"If you selected ""Law Enforcement not based in Missoula"", in what County do you currently work? Write-in below.",When are you taking this survey? Select one.,What's one thing that you hope to takeaway from the 40-hour Crisis Intervention Team Training Academy?,What's one thing that you immediately took away from the 40-hour Crisis Intervention Team Training Academy?,"What else would you like to share with the Missoula Crisis Intervention Team Program and/or Trainers as relates to the training you completed, your experience of the training, and/or your experien...",How comfortable are you with your current knowledge of mental illness? Select one.,How aware are you of community resources available to people living with mental illness? Select one.,How knowledgeable are you about civil commitment laws? Select one.,How knowledgeable are you about professional liability considerations that could arise when professionally engaging with someone in a mental health crisis? Select one.,How familiar are you with the roles of various actors or organizations in the mental health system? Examples of actors or organizations include things like different types of mental health profess...,Do you believe that the average person living with a mental illness is more or less aggressive than an individual not living with a mental illness? Select one.,Do you believe the average person living with a mental illness is more or less likely to commit a violent crime than an individual not living with a mental illness? Select one.,How well prepared do you feel to appropriately engage with someone experiencing a mental health crisis? Select one.,"Overall, how well prepared do you think other law enforcement officers are to appropriately engage with someone experiencing a mental health crisis? Select one.",How would you rate your comfort level in appropriately engaging with someone experiencing a mental health crisis? Select one.,How would you rate your confidence in using de-escalation skills to appropriately engage with someone experiencing a mental health crisis? Select one.,timepoint,"What's one way that you've used the knowledge, skills, abilities, and/or experience of the 40-hour Crisis Intervention Team Training Academy?",What's one thing that you hoped to take away from the 40-hour Crisis Intervention Team Training Academy?,"What's one surprising way that you've used the knowledge, skills, abilities, and/or experience of the 40-hour Crisis Intervention Team Training Academy?"
31,2024-10-31 14:42:46,2024-10-31 14:48:30,Other,,About 6 months after the April 2024 Academy,Better collaboration with and understanding of what LE does ,Better understanding of what LE does ,Great training. ,Very comfortable,Very aware,Knowledgeable,Knowledgeable,Very familiar,The same,Less likely,Very prepared,Somewhat prepared,Very comfortable,Very confident,m3_6,Understanding why LE may not respond if POC has a gun,,
32,2024-11-03 23:49:47,2024-11-04 00:00:54,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,About 6 months after the April 2024 Academy,Effective de-escalation techniques,The versatility of the program,"I think this class needs to be more widely available to agencies outside law enforcement, maybe even a requirement for crisis work",Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Moderately prepared,Very comfortable,Very confident,m3_6,I use CIT principles daily at my job,,
33,2024-11-04 12:48:32,2024-11-04 12:51:01,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,About 6 months after the April 2024 Academy,Improved awareness of crisis resources in the community,The amount of work and dedication put in by the CIT team to improve response in Misosula,,Very comfortable,Very aware,Knowledgeable,Knowledgeable,Very familiar,Less aggressive,Less likely,Very prepared,Moderately prepared,Very comfortable,Very confident,m3_6,By sharing crisis information with other members of the community,,
1,2025-04-07 08:24:36,2025-04-07 08:28:38,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 1 year after the April 2024 Academy,,The resources in Missoula ,,Comfortable,Aware,Knowledgeable,Knowledgeable,Familiar,The same,The same,Moderately prepared,Moderately prepared,Very comfortable,Moderately confident,m12,,Deescalation techniques ,In my interviews with suspects 
2,2025-04-07 08:26:16,2025-04-07 08:29:35,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 1 year after the April 2024 Academy,,,,Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Familiar,The same,The same,Moderately prepared,Somewhat prepared,Moderately comfortable,Very confident,m12,,,
3,2025-04-07 08:46:09,2025-04-07 08:51:31,"Missoula Law Enforcement (inclusive of City Police, Sheriff's Deputies, University of Montana Police, Probation and Parole, and Detention Officers)",,About 1 year after the April 2024 Academy,,Communication skills and resources,Keep doing what yall are doing,Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,The same,The same,Very prepared,Very prepared,Very comfortable,Very confident,m12,,Resources,The involvement from the Missoula community
4,2025-04-07 08:59:58,2025-04-07 09:38:40,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,About 1 year after the April 2024 Academy,,Better understanding of the LE concerns around liability.,"I appreciate how seriously Missoula County is about providing more information about mental health to1st responders, and other community partners, but especially Law Enforcement! Thank you for all that you are doing! ",Expert,Aware,Very knowledgeable,Very knowledgeable,Very familiar,The same,The same,Expert,Somewhat prepared,Expert,Very confident,m12,,"A better understanding of how to collaborate with law enforcement, in terms of speaking to involuntary commitment, when LE is concerned about their liability.",Being able to communicate more effectively with LE in regards to collaborating around whether or not an individual meets involuntary criteria.
5,2025-04-07 11:17:12,2025-04-07 11:23:12,Other,,About 1 year after the April 2024 Academy,,Resources available in our community,I just wish since we are not LE that we had more educational opportunities.  We do enforcement but are often forgotten as true first responders,Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,The same,The same,Very prepared,Very prepared,Very comfortable,Very confident,m12,,Better skills in interacting with those experiencing mental health crisis,My team interacts with those experiencing mental health challenges every day and I think we provide a  strong conduit to getting individuals resources.  
6,2025-04-07 11:26:34,2025-04-07 11:29:53,"Emergency First Responders (inclusive of Mobile Support Team, EMS, MESI, Fire)",,About 1 year after the April 2024 Academy,,scene safety,,Very comfortable,Very aware,Very knowledgeable,Very knowledgeable,Very familiar,The same,The same,Very prepared,Somewhat prepared,Very comfortable,Very confident,m12,,Skills to work on de-escalating someone is crisis. ,Informing clients that officers are training in mental health emergencies. 
7,2025-04-07 14:20:54,2025-04-07 14:25:37,"Behavioral Health Crisis and Emergency Services (inclusive of Riverwalk, WMMHC, Dakota Place, Hospital EDs)",,About 1 year after the April 2024 Academy,,The dedication of the community of first responders in Missoula to take mental health seriously ,,Comfortable,Very aware,Knowledgeable,Knowledgeable,Familiar,Less aggressive,Less likely,Moderately prepared,Very prepared,Very comfortable,Moderately confident,m12,,Knowledge of current training practices for different organizations on handling mental health crises,I've used them personally with people I know to help facilitate appropriate care during times of elevated stress to help mitigate a crisis
